step,true_x,true_z,true_vx,true_vz,true_theta,true_theta_dot,true_fuel,est_x,est_z,est_vx,est_vz,est_theta,est_theta_dot,est_fuel,err_x,err_z,err_vx,err_vz,err_theta,err_theta_dot,err_fuel
0,0.31533265212048317,254.00015928613084,-0.48042781023384945,-5.0,0.07638920125138005,-0.019074019578565818,100.0,0.3172882786962147,254.0079286676399,-0.47696312343676284,-4.987507372589584,0.07536478765756982,-0.020174275948636747,100.15415567750881,0.001955626575731506,0.007769381509064033,0.0034646867970866135,0.012492627410416013,-0.001024413593810225,-0.0011002563700709296,0.1541556775088111
1,0.2914098145601075,253.74841160523297,-0.4765780270193833,-5.069878881769824,0.07506787866928029,-0.033778883705424215,99.97168093707919,0.29275258288985034,253.747736519353,-0.4900512229089697,-5.057126724526048,0.07416883787629258,-0.03274920940300475,100.00545857736783,0.0013427683297428383,-0.0006750858799762227,-0.013473195889586398,0.012752157243776097,-0.000899040792987707,0.0010296743024194657,0.033777640288647603
2,0.2676660794244016,253.49324030254218,-0.4733145033946262,-5.136944793476905,0.0730240930544951,-0.047972540885983385,99.94318183200659,0.26158359535852854,253.4898815456194,-0.4710876684644869,-5.147793350231597,0.07264662194676141,-0.04765390256052275,99.99764677773908,-0.006082484065873084,-0.0033587569227790937,0.0022268349301393098,-0.01084855675469143,-0.0003774711077336873,0.0003186383254606337,0.05446494573249083
3,0.24408471320062913,253.23481570325592,-0.4701337122418904,-5.200010970223287,0.07028267089944983,-0.06168434531582774,99.91442197893873,0.2331410888314804,253.23521592758374,-0.4552101620607727,-5.208375519604085,0.07054574501525357,-0.060882541651908165,99.93870760596202,-0.010943624369148724,0.0004002243278193873,0.014923550181117684,-0.008364549380798003,0.0002630741158037436,0.0008018036639195758,0.02428562702328918
4,0.22066718290264148,252.97330300142127,-0.4668095339879072,-5.260468776224889,0.06687352557259117,-0.07468146775851824,99.88549568101747,0.21277345318920984,252.97975545397327,-0.4717332453114737,-5.253243099050467,0.06742259344044976,-0.07469260561426445,99.89873898473552,-0.007893729713431635,0.006452452551997112,-0.004923711323566504,0.007225677174422351,0.0005490678678585909,-1.1137855746218284e-05,0.013243303718041943
5,0.19743875576112685,252.70881669602312,-0.46261480128050203,-5.318954408360309,0.0628444781589269,-0.0864804287880529,99.8564456442394,0.2091858224243406,252.71539560675595,-0.4827154294662464,-5.32075849753274,0.06216538885163425,-0.0866359506609099,99.89907459071087,0.011747066663213762,0.006578910732827126,-0.020100628185744374,-0.0018040891724311336,-0.0006790893072926435,-0.0001555218728570007,0.04262894647146709
6,0.1744576694606332,252.44148118181297,-0.45695728742712466,-5.374435796189058,0.058270171070639754,-0.0964918547434328,99.82720065848889,0.1849025380422396,252.44619755588695,-0.44303005938023443,-5.371396450287333,0.056814428475874035,-0.0969672950177968,99.83800491885061,0.010444868581606398,0.004716374073979068,0.013927228046890228,0.0030393459017252766,-0.0014557425947657188,-0.0004754402743639974,0.01080426036172355
7,0.15198267764727244,252.17142538114845,-0.4424100493152835,-5.42776456672358,0.053237125076202416,-0.10482998503406062,99.79781847261009,0.15610757152907623,252.16730391438477,-0.44464626690649517,-5.418752110970438,0.0536199896102576,-0.10355999306352486,99.80776106881983,0.004124893881803787,-0.004121466763677972,-0.0022362175912116755,0.009012455753142135,0.0003828645340551856,0.001269991970535761,0.009942596209739918
8,0.13007927769270597,251.89875556438128,-0.4341194736401179,-5.478996197347699,0.0478155450485875,-0.11203321607053586,99.76830409189063,0.12144494853071638,251.89057532544365,-0.4393997820351196,-5.466030255827725,0.04669606634513945,-0.11156967567313233,99.78639643770785,-0.008634329161989585,-0.008180238937626427,-0.005280308395001709,0.012965941519973434,-0.00111947870344805,0.00046354039740352515,0.018092345817223077
9,0.10869753733973711,251.62357572678943,-0.42156897293355056,-5.528163077264346,0.042092891454866006,-0.11687292767832404,99.73865646368264,0.10225782391546404,251.61507271072836,-0.42834799312917654,-5.530518192531258,0.042116996207938406,-0.1160858615161531,99.75312431596797,-0.006439713424273075,-0.008503016061069957,-0.006779020195625984,-0.0023551152669121223,2.4104753072400065e-05,0.0007870661621709324,0.014467852285321214
10,0.0880046256156749,251.34600758823476,-0.40658530013572786,-5.574527851980842,0.03616602387355755,-0.12020177557401412,99.70882774819499,0.08465415639156072,251.33873765718022,-0.4181702541830823,-5.555112743127689,0.037037044673621455,-0.12038828850821207,99.73635604108614,-0.0033504692241141804,-0.007269931054537437,-0.011584954047354434,0.019415108853152674,0.0008710208000639041,-0.00018651293419794102,0.027528292891148
11,0.0680707881797813,251.06614952172595,-0.39121601689613056,-5.619759310031399,0.030115365482682253,-0.12182456006099775,99.67893059610738,0.06638477370385928,251.06859316017773,-0.3920710533028439,-5.602585327679041,0.03012813129726233,-0.12335534951031575,99.70484500524823,-0.0016860144759220097,0.0024436384517798615,-0.0008550364067133609,0.01717398235235823,1.2765814580074919e-05,-0.001530789449318004,0.025914409140852968
12,0.048868093729107644,250.7840808593736,-0.3773409145756995,-5.662950135526535,0.024039467341126473,-0.12121136560123343,99.64890125227247,0.04885033720787559,250.7861482425381,-0.37979357875156816,-5.660959621308058,0.024367094039302373,-0.121617175367144,99.66906244717339,-1.7756521232051292e-05,0.0020673831645012797,-0.0024526641758686463,0.0019905142184768465,0.00032762669817590004,-0.00040580976591057805,0.02016119490092194
13,0.030403194663466564,250.49991534571123,-0.3617017007046856,-5.703632895592154,0.018041233209621626,-0.11871799965896046,99.61870897080912,0.025440868277347012,250.49530089840695,-0.35609108567364395,-5.727269091365101,0.017928469747100273,-0.11933386564859369,99.64106457992948,-0.0049623263861195525,-0.0046144473042772916,0.005610615031041655,-0.023636195772946955,-0.00011276346252135291,-0.0006158659896332297,0.022355609120353392
14,0.012691424888206976,250.2137867020015,-0.34720530933056565,-5.741474815298091,0.012219864856587447,-0.11413673446240669,99.58832975102845,0.003941409186860513,250.21460836696772,-0.3477731157899659,-5.740854982810713,0.011934738428903024,-0.11453518565913232,99.616076822023,-0.008750015701346463,0.000821664966224489,-0.0005678064594002441,0.000619832487377181,-0.00028512642768442273,-0.0003984511967256299,0.027747070994550427
15,-0.0041927581032937915,249.92578106633752,-0.32857831764279904,-5.778712081651946,0.0066768431745018696,-0.10758413282101642,99.5579151700402,-0.013633275483693977,249.92770763918534,-0.3270562053109752,-5.784030720516315,0.004983634206046084,-0.10942517185448894,99.58119218917464,-0.009440517380400186,0.001926572847821717,0.001522112331823866,-0.005318638864368452,-0.001693208968455786,-0.001841039033472519,0.023277019134440025
16,-0.02008131124755467,249.63596022414984,-0.30735383445245107,-5.81408274417152,0.00151779477462868,-0.09877780317391115,99.52737729765794,-0.023326470515447725,249.63897003098384,-0.32450503907115874,-5.815785910793906,0.0017245697568402107,-0.09891802296194113,99.55714449382666,-0.003245159267893056,0.003009806834000983,-0.01715120461870767,-0.0017031666223861208,0.0002067749822115307,-0.00014021978802998547,0.029767196168720034
17,-0.0349412455847226,249.3444129431186,-0.2873983759862742,-5.847771638846578,-0.0031754947347843255,-0.08895377720260908,99.49673495049396,-0.045394466737029716,249.3397862062927,-0.29798920234016973,-5.85730528449426,-0.003013520639957079,-0.08856331865666706,99.52305816836814,-0.010453221152307117,-0.004626736825912303,-0.010590826353895522,-0.00953364564768222,0.00016197409482724637,0.000390458545942024,0.026323217874178795
18,-0.048789112039952925,249.05123208042545,-0.2668322234808014,-5.879427518091268,-0.007341067674837337,-0.0776691403995114,99.46596096577193,-0.04671559679227596,249.0523873461968,-0.28550631990241565,-5.881840963010546,-0.005722897371127189,-0.07802367631887053,99.49115243105106,0.002073515247676967,0.0011552657713593817,-0.018674096421614272,-0.002413444919278085,0.0016181703037101477,-0.00035453591935913353,0.025191465279135627
